Date,Time,open,high,low,close,volume,spread
2024.08.09,08:00:00,1.09218,1.09257,1.09113,1.0916,6899,1
2024.08.09,12:00:00,1.0916,1.09312,1.0909,1.0924,8624,3
2024.08.09,16:00:00,1.09239,1.09245,1.0915,1.09186,5278,3
2024.08.09,20:00:00,1.09186,1.09192,1.09143,1.09151,703,2
2024.08.11,20:00:00,1.09146,1.09188,1.091,1.09127,1574,3
2024.08.12,00:00:00,1.09127,1.09228,1.09117,1.09138,3070,1
2024.08.12,04:00:00,1.09138,1.09283,1.09134,1.09222,4621,3
2024.08.12,08:00:00,1.09225,1.09297,1.09159,1.09258,5788,3
2024.08.12,12:00:00,1.09256,1.09393,1.0915,1.09278,8423,3
2024.08.12,16:00:00,1.09278,1.09349,1.09215,1.09314,5295,3
2024.08.12,20:00:00,1.09313,1.09363,1.09242,1.0936,1970,1
2024.08.13,00:00:00,1.09361,1.09383,1.09292,1.09368,3124,3
2024.08.13,04:00:00,1.09368,1.09409,1.09263,1.09299,4702,1
2024.08.13,08:00:00,1.09299,1.09321,1.09136,1.093,5841,3
2024.08.13,12:00:00,1.09301,1.09623,1.09254,1.09534,9776,3
2024.08.13,16:00:00,1.09533,1.09996,1.09528,1.09959,6698,3
2024.08.13,20:00:00,1.0996,1.09987,1.09793,1.09958,2375,2
2024.08.14,00:00:00,1.09958,1.09972,1.09886,1.099,4668,3
2024.08.14,04:00:00,1.099,1.10077,1.09862,1.10056,5331,2
2024.08.14,08:00:00,1.10055,1.10284,1.10024,1.10223,6198,3
2024.08.14,12:00:00,1.10229,1.10471,1.1004,1.10231,10717,3
2024.08.14,16:00:00,1.10232,1.1024,1.10108,1.10127,4935,3
2024.08.14,20:00:00,1.10127,1.10154,1.10086,1.10114,1929,1
2024.08.15,00:00:00,1.10114,1.10141,1.10029,1.1008,3597,1
2024.08.15,04:00:00,1.1008,1.10154,1.10075,1.10133,3819,1
2024.08.15,08:00:00,1.10133,1.1014,1.10033,1.10132,4646,3
2024.08.15,12:00:00,1.10132,1.10141,1.09493,1.09851,11096,3
2024.08.15,16:00:00,1.09858,1.09892,1.09716,1.0974,5231,3
2024.08.15,20:00:00,1.0974,1.09749,1.09662,1.09724,1975,3
2024.08.16,00:00:00,1.09724,1.09825,1.0972,1.0977,3359,3
2024.08.16,04:00:00,1.0977,1.09866,1.0976,1.09849,4434,3
2024.08.16,08:00:00,1.09849,1.09949,1.09786,1.09921,5544,3
2024.08.16,12:00:00,1.09921,1.10043,1.09825,1.09958,8088,3
2024.08.16,16:00:00,1.09957,1.10246,1.09953,1.10242,4774,3
2024.08.16,20:00:00,1.10242,1.10293,1.10221,1.10271,930,3
2024.08.18,20:00:00,1.10268,1.10339,1.1022,1.10245,1827,3
2024.08.19,00:00:00,1.10245,1.10403,1.10231,1.10388,4205,3
2024.08.19,04:00:00,1.10388,1.105,1.10366,1.10426,6038,3
2024.08.19,08:00:00,1.10426,1.10505,1.10309,1.10421,5998,3
2024.08.19,12:00:00,1.10425,1.10734,1.10304,1.1069,8622,3
2024.08.19,16:00:00,1.10691,1.10861,1.10671,1.10835,4821,3
2024.08.19,20:00:00,1.10835,1.10873,1.10774,1.10855,2058,3
2024.08.20,00:00:00,1.10856,1.10871,1.1075,1.10755,4571,3
2024.08.20,04:00:00,1.10755,1.1087,1.10717,1.10866,5228,3
2024.08.20,08:00:00,1.10867,1.10887,1.10749,1.10808,6119,3
2024.08.20,12:00:00,1.10807,1.11167,1.10803,1.1105,9871,3
2024.08.20,16:00:00,1.11056,1.11272,1.1104,1.11244,5407,3
2024.08.20,20:00:00,1.11247,1.11314,1.11166,1.11274,2598,1
2024.08.21,00:00:00,1.11275,1.11325,1.1117,1.11209,4294,3
2024.08.21,04:00:00,1.11208,1.11286,1.11102,1.1114,5408,3
2024.08.21,08:00:00,1.11141,1.11258,1.111,1.11147,5607,3
2024.08.21,12:00:00,1.11148,1.11477,1.10995,1.11421,12227,3
